iteration,diff_u
1,[[6.479300000000001e-12]]
2,[[2.1526984050000005e-07]]
3,[[0.0001561279998486]]
4,[[0.00032364311015491143]]
5,[[-0.00759315072663469]]
6,[[-0.009864707692264663]]
7,[[0.0802868179295615]]
8,[[-0.02993199829789874]]
9,[[0.5830636029651427]]
10,[[0.759052644859404]]
11,[[-13.100363570490767]]
12,[[-4.987847681526363]]
13,[[-4.898186379330568]]
14,[[-0.4061188391610132]]
15,[[-0.9021922111420556]]
16,[[-0.8005494245910595]]
17,[[4.884227128335834]]
18,[[3.5632249506385345]]
19,[[4.130317613393022]]
20,[[1.315617666883195]]
21,[[1.2053297903899254]]
22,[[0.6578331238355742]]
23,[[-1.6103195548003104]]
24,[[-1.983416644109431]]
25,[[-2.6946553717682695]]
26,[[-1.4569198679765851]]
27,[[-1.2101698951459507]]
28,[[-0.581901356776337]]
29,[[0.21367358870405126]]
30,[[0.929138163439796]]
31,[[1.5225369788990266]]
32,[[1.1391935170873522]]
33,[[0.9407396281083653]]
34,[[0.631402091179649]]
35,[[0.15409121303566728]]
36,[[-0.3202197496260331]]
37,[[-0.7811520174166838]]
38,[[-0.7333802425739125]]
39,[[-0.5910422503621963]]
40,[[-0.5634895142135025]]
41,[[-0.33739190522224044]]
42,[[0.04364885625518753]]
43,[[0.2578690596706611]]
44,[[0.2973252690961624]]
45,[[0.3854034211537797]]
46,[[0.2875630696665352]]
47,[[0.18159373199865853]]
48,[[0.07869401303772472]]
49,[[-0.0863945955809355]]
50,[[-0.20081049336812512]]
51,[[-0.38417008405840836]]
52,[[-0.28392808279744564]]
53,[[-0.2006233594687854]]
54,[[-0.08073801720758121]]
55,[[0.11682845056444432]]
56,[[0.07105231111055631]]
57,[[0.25329969315701223]]
58,[[0.142866131699405]]
59,[[0.25850560293829794]]
60,[[0.0755213536156625]]
61,[[0.028242774902189505]]
62,[[-0.21136181000090512]]
63,[[-0.23336024699938374]]
64,[[-0.0570190789043354]]
65,[[-0.1321516024984532]]
66,[[-0.17751428840270922]]
67,[[-0.18230170481698374]]
68,[[-0.16641807506187412]]
69,[[0.12768076569684822]]
70,[[0.016369538934594703]]
71,[[0.035841849858101904]]
72,[[0.0818990707626164]]
73,[[0.0600458952128149]]
74,[[0.22790835596286682]]
75,[[-0.037947664193045]]
76,[[-0.08493317560537351]]
77,[[-0.06862970535029822]]
78,[[0.06299522934561691]]
79,[[-0.04232283543009661]]
80,[[0.0293649992524963]]
81,[[0.005752867041909701]]
82,[[0.04306784549055621]]
83,[[0.05152692341135481]]
84,[[-0.007452718661487502]]
85,[[-0.015958219904451502]]
86,[[0.13722846623080912]]
87,[[0.022496996626308403]]
88,[[0.0209996948018802]]
89,[[0.04351865302211411]]
90,[[-0.0106310724117813]]
91,[[0.062222575351875406]]
92,[[-0.035503367771731104]]
93,[[0.0033308176092770006]]
94,[[-0.0594646063920924]]
95,[[0.0608499525872842]]
96,[[0.08580069171897182]]
97,[[-0.005665676595838901]]
98,[[-0.0512499304940808]]
99,[[-0.041374330174354206]]
100,[[-0.0005698253175225001]]
